2017-10-17 10:21:16,838 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-17 10:21:16,841 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-17 10:21:17,536 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-17 10:21:17,538 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-17 10:21:17,578 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-17 10:21:17,580 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-17 10:21:18,053 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-17 10:21:18,056 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-17 10:21:18,058 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-17 10:21:18,066 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-17 10:21:18,619 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-17 10:21:18,621 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-17 10:21:18,623 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-17 10:21:18,625 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-10-17 10:21:19,264 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-17 10:21:19,266 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-17 10:21:19,273 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-17 10:21:19,275 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-10-17 10:26:46,190 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact javax.xml:jaxb-api:jar:2.1 has been relocated to javax.xml.bind:jaxb-api:jar:2.1
2017-10-17 11:42:18,163 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact javax.xml:jaxb-api:jar:2.1 has been relocated to javax.xml.bind:jaxb-api:jar:2.1
2017-10-20 21:45:27,341 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-10-21 08:21:01,459 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
